accession	domain	order	family	genus	species	name	locus
GCF_001013905.1	Bac	85011	2062	1883	1437453	Streptomyces_leeuwenhoekii	['NZ_LN831790', 'NZ_LN831788', 'NZ_LN831789']
GCF_000092585.1	Bac	2085	2092	2093	2096	Mycoplasma_gallisepticum	['NC_004829']
GCF_003443835.1	Bac	91347	543	570	1463165	Klebsiella_quasipneumoniae	['NZ_CP031257', 'NZ_CP031258', 'NZ_CP031259', 'NZ_CP031260', 'NZ_CP031261', 'NZ_CP031262']
GCF_000612965.1	Bac	356	772	773	38323	Bartonella_henselae	['NZ_HG965802']
GCF_003568565.1	Bac	1385	186817	1386	1396	Bacillus_cereus	['NZ_CP023245', 'NZ_CP023246']
GCF_000626695.2	Bac	91347	543	590	28901	Salmonella_enterica	['NZ_CP007360']
GCF_001267195.1	Bac	72274	135621	1849530	1697053	Oblitimonas_alkaliphila	['NZ_CP012359']
GCF_000486585.2	Bac	91347	543	590	28901	Salmonella_enterica	['NZ_CP019192', 'NZ_CP019193']
GCF_002448155.1	Bac	85007	1762	1763	1773	Mycobacterium_tuberculosis	['NZ_CP023637']
GCF_003425505.1	Bac	135625	712	724	727	Haemophilus_influenzae	['NZ_CP031681']
GCF_001562215.1	Bac	135614	32033	40323	1793721	Stenotrophomonas_sp._KCTC_12332	['NZ_CP014274']
GCF_001516385.1	Bac	72274	135621	286	287	Pseudomonas_aeruginosa	['NZ_CP008863']
GCF_001412535.1	Bac	80840	80864	665874	1678128	Limnohabitans_sp._63ED37-2	['NZ_CP011774']
GCF_000757015.2	Bac	80840	119060	32008	28450	Burkholderia_pseudomallei	['NZ_CP009585', 'NZ_CP009586']
GCF_003717735.1	Bac	91347	543	590	28901	Salmonella_enterica	['NZ_CP029872', 'NZ_CP029871']
GCF_001901315.1	Bac	91347	543	561	562	Escherichia_coli	['NZ_CP010226', 'NZ_CP010227']
GCF_003994395.1	Bac	85011	2062	1883	45398	Streptomyces_griseoviridis	['NZ_CP034687']
GCF_003665275.1	Bac	1385	186817	1386	1423	Bacillus_subtilis	['NZ_CP032857', 'NZ_CP032858', 'NZ_CP032859']
GCF_003612695.1	Bac	135623	641	662	670	Vibrio_parahaemolyticus	['NZ_CP023472', 'NZ_CP023473']
GCF_003048375.1	Bac	213849	72294	194	199	Campylobacter_concisus	['NZ_CP021642', 'NZ_CP021643']
GCF_003010735.1	Bac	91347	543	570	573	Klebsiella_pneumoniae	['NZ_CP027612', 'NZ_CP027613', 'NZ_CP027614', 'NZ_CP027615', 'NZ_CP027616', 'NZ_CP027617']
GCF_001695715.1	Bac	80840	119060	32008	28450	Burkholderia_pseudomallei	['NZ_CP016638', 'NZ_CP016639']
GCF_000974465.1	Bac	91347	543	561	562	Escherichia_coli	['NZ_CP010439']
GCF_003971565.1	Bac	186826	33958	1578	47770	Lactobacillus_crispatus	['NZ_CP026503', 'NZ_CP026504']
GCF_002213565.1	Bac	1385	186820	1637	1639	Listeria_monocytogenes	['NZ_CP007008']
GCF_002243535.1	Bac	186826	81852	51668	51669	Tetragenococcus_halophilus	['NZ_CP020017']
GCF_003966755.1	Bac	118969	118968	59195	676208	Candidatus_Rickettsiella_viridis	['NZ_AP018005']
GCF_003665415.1	Bac	72274	135621	286	317	Pseudomonas_syringae	['NZ_CP032871', 'NZ_CP032870']
GCF_000184925.1	Bac	186802	2304686	2304692	1515	Hungateiclostridium_thermocellum	['NC_017304']
GCF_001792835.1	Bac	72274	135621	286	287	Pseudomonas_aeruginosa	['NZ_CP015001']
GCF_001021975.1	Bac	200644	49546	59732	1324352	Chryseobacterium_gallinarum	['NZ_CP009928']
GCF_002804025.1	Bac	186328	33925	46239	219745	Mesoplasma_tabanidae	['NZ_CP024969']
GCF_003203695.1	Bac	91347	1903409	53335	470934	Pantoea_vagans	['NZ_CP020820', 'NZ_CP022517', 'NZ_CP022518', 'NZ_CP022519', 'NZ_CP022520']
GCF_002346045.1	Bac	80840	119060	32008	13373	Burkholderia_mallei	['NZ_CP009929', 'NZ_CP009930']
GCF_002447675.1	Bac	85007	1762	1763	1773	Mycobacterium_tuberculosis	['NZ_CP023613']
GCF_001895885.1	Bac	1385	186817	1386	561879	Bacillus_safensis	['NZ_CP018197', 'NZ_CP018198']
GCF_000264665.2	Bac	72274	135621	286	303	Pseudomonas_putida	['NC_017986', 'NZ_AY208917', 'NC_018746']
GCF_002812825.1	Bac	72274	135621	286	287	Pseudomonas_aeruginosa	['NZ_CP025049']
GCF_000168595.2	Bac	1385	186820	1637	1639	Listeria_monocytogenes	['NC_017547']
GCF_000012965.1	Bac	213849	72293	202746	39766	Sulfurimonas_denitrificans	['NC_007575']
GCF_002953295.1	Bac	91347	543	570	1463165	Klebsiella_quasipneumoniae	['NZ_CP014071', 'NZ_CP014072', 'NZ_CP014073']
GCF_003516205.1	Bac	85010	2070	40566	42197	Actinosynnema_pretiosum	['NZ_CP029607']
GCF_000597885.1	Bac	768507	200667	NO RANK	1257021	Flammeovirgaceae_bacterium_311	['NZ_CP004371']
GCF_000442645.1	Bac	85007	1653	1716	575200	Corynebacterium_maris	['NC_021915', 'NC_021920']
GCF_003429305.1	Bac	135622	267888	53246	43662	Pseudoalteromonas_piscicida	['NZ_CP031759', 'NZ_CP031760']
GCF_000582555.1	Bac	135619	135620	187492	187493	Thalassolituus_oleivorans	['NZ_CP006829']
GCF_002007625.1	Bac	186826	81852	1350	1352	Enterococcus_faecium	['NZ_CP019208', 'NZ_CP019209', 'NZ_CP019210', 'NZ_CP019211', 'NZ_CP019212']
